fdc_id,data_type,description,food_category_id,publication_date
321647,sub_sample_food,"Vitamin C, Broccoli, raw (CO2,CT1) - NFY0904JW",11.0,2019-04-01
2513863,sub_sample_food,"sorghum, flour",20.0,2023-04-20
333389,sub_sample_food,"Minerals, Pollock, raw (OK) - NFY060DM3",15.0,2019-04-01
2516370,sub_sample_food,coconut flour,12.0,2023-04-20
332636,market_acquisition,"OLIVES, GREEN MANZANILLA STUFFED WITH PIMENTOS, STORE BRAND",9.0,2019-04-01
327756,sub_sample_food,"Romaine Lettuce, Pass 2, Region 4 - Vitamin B6 - NFY0105IK",11.0,2019-04-01
323199,sub_sample_food,Almonds dry roasted salted,12.0,2019-04-01
2006800,sub_sample_food,"mushrooms, crimini",11.0,2021-10-15
2259010,sub_sample_food,"peppers, bell, red, raw",11.0,2022-04-28
2007359,sub_sample_food,"mushrooms, crimini",11.0,2021-10-15
2513979,sub_sample_food,"buckwheat, whole grain",20.0,2023-04-20
328254,market_acquisition,"Cheese, cheddar, natural shredded sharp, KRAFT (AZ1) NFY120WN4",1.0,2019-04-01
2347802,sub_sample_food,"cream cheese, block, full fat",1.0,2022-10-28
1757057,sub_sample_food,"TOMATOES, ROMA",11.0,2021-04-23
747509,sub_sample_food,Ketchup,11.0,2019-12-16
747281,sub_sample_food,American cheese,1.0,2019-12-16
2646778,sub_sample_food,"chicken, breast, boneless, skinless",5.0,2023-10-19
322912,market_acquisition,"HOT DOGS, BEEF, BALL PARK ANGUS",7.0,2019-04-01
1751660,sub_sample_food,"SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE",16.0,2021-04-23
2001280,sub_sample_food,"SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE",16.0,2021-10-15
2645028,sub_sample_food,"beans, navy, canned, sodium added",16.0,2023-10-19
2350445,sub_sample_food,"Potatoes, russet, without skin, raw",11.0,2022-10-28
2351685,sub_sample_food,"strawberries, fresh, raw",9.0,2022-10-28
748345,sub_sample_food,Soybean oil,4.0,2019-12-16
2644557,sub_sample_food,"beans, black, canned, sodium added",16.0,2023-10-19
328680,market_acquisition,"Cottage cheese, 2% milkfat, BREAKSTONE (AL1) - NFY120BST",1.0,2019-04-01
1756967,sub_sample_food,"TOMATOES, ROMA",11.0,2021-04-23
2645055,sub_sample_food,"beans, navy, canned, sodium added",16.0,2023-10-19
332126,sub_sample_food,"Minerals, Sauce, pasta, PREGO 100% Natural Italian, Traditional, bottled spaghetti sauce (CA1) - NFY0904VJ",6.0,2019-04-01
323481,sub_sample_food,Kale,11.0,2019-04-01
2003020,sub_sample_food,"MUSHROOMS, SHIITAKE",11.0,2021-10-15
2512811,sub_sample_food,"buckwheat, whole grain",20.0,2023-04-20
335616,agricultural_acquisition,"Beans, Dry, Pinto, 678 (0% moisture)",16.0,2019-04-01
2260615,sub_sample_food,"Yogurt, whole milk, plain",1.0,2022-04-28
2646468,sub_sample_food,"chicken, breast, boneless, skinless",5.0,2023-10-19
2647032,sub_sample_food,"pork, loin, boneless",10.0,2023-10-19
2349564,sub_sample_food,"Oats, whole grain, rolled, old fashioned",20.0,2022-10-28
328565,market_acquisition,"Cheese, cheddar, mild, block/chunk, store brand, KROGER  (CA2) NFY120XCN",1.0,2019-04-01
